SMILES,He,H2,O2,N2,CO2,CH4
*C(C)=C(*)[Si](C)(C)CC,2.868147441,3.222615248,2.842870869,2.516309381,3.508046147,2.851941195
*C1CCCCC1*,4.464118385,4.964480725,4.785329835,4.301029996,5.40756816,4.594135938
*CCCCCC(=O)N*,-0.709040407,-0.816193924,-2.103222268,-2.770919494,-1.517139802,-2.793799039
*Oc1c(C#N)c2c(c(C#N)c1O*)Oc1cc3c(cc1O2)-c1ccc(C(C)(C)C)cc1C31c2cc(C(C)(C)C)ccc2-c2cc(*)c(*)cc21,3.288159155,3.710216358,3.355587151,2.886893222,4.107421924,3.180296707
*CC(O)COc1ccc(O*)cc1,-0.969322827,-1.120829812,-2.522879614,-3.363664145,-1.944710159,-3.466945269
*c1ccc2c(c1)C(=O)N(c1c(C)cc(-c3cc(C)c(N4C(=O)c5ccc(C(*)(C(F)(F)F)C(F)(F)F)cc5C4=O)c(C)c3)cc1C)C2=O,2.146975201,2.388476282,1.730782276,1.208144521,2.356159586,1.384921246
*Oc1cc2c(cc1O*)C1(CC2(C)C)CC(C)(C)c2cc3c(cc21)Oc1cc2nc4cc5c(cc4nc2cc1O3)C(C)(C)CC51CC(C)(C)c2cc3nc4cc(*)c(*)cc4nc3cc21,2.643452676,2.934498451,2.278753601,1.62324929,3.041392685,1.792391689
*CCc1ccc(*)c(C#N)c1,0.247760863,0.247734884,-1.047639438,-1.832533461,-0.521483164,-1.965101276
*Oc1c(C)cc(C(C)(C)c2cc(C)c(OC(=O)c3ccc(C(*)=O)cc3)c(C)c2)cc1C,1.505149978,1.60511698,0.73895005,0.116980527,1.278753601,0.162681408
*CC(C)(COC(=O)NCCCCCCNC(=O)O*)CN(C)C,0.135426122,0.107662193,-1.065501549,-1.886056648,-0.488454247,-1.932976492
*Oc1ccc(C(CCC)(CCC)c2ccc(OC(*)=O)c(C)c2)cc1C,0.967311838,1.060041136,0.120573931,-0.522497137,0.728080878,-0.451735299
*CC(*)OCC1CC2CC1C1CCCC21,0.878731006,0.925164591,-0.091514981,-0.886056648,0.45484486,-0.901289308
*c1ccc(NC(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc(NC(=O)c5ccc6c(c5)C(=O)N(*)C6=O)cc4)cc2)C3=O)cc1,0.742725131,0.64738297,-0.673664139,-1.431798276,-0.080921908,-1.522878745
*c1ccc2c(c1)C(=O)N(c1c(C)cc(-c3cc(C)c(N4C(=O)c5ccc(C(*)(C(F)(F)F)C(F)(F)F)cc5C4=O)c4ccccc34)c3ccccc13)C2=O,2.38066411,2.725108192,2.149219113,1.683509932,2.981365509,1.969648349
*CC/C=C(/*)C,1.924684167,2.190075859,1.597810555,1.334292841,2.406028252,1.657222516
*CCCS(=O)(=O)CCCCS(=O)(=O)CCCOC(=O)c1cccc(C(=O)O*)c1,-0.798120474,-0.941089186,-2.306609796,-3.135532,-1.762205007,-3.238992591
*/C(=C(\*)c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1ccccc1,3.476043159,3.849188409,3.568196661,3.392190547,4.093147,3.79249106
